"縣市名稱","鄉鎮名稱","段號名稱","小段名稱","母號","子號","分號","面積(㎡)","使用單位名稱","使用部門名稱","使用分部名稱","使用分區名稱","使用地類名稱"
"臺中市","南屯區","山子腳",,"0420","0000","001","1795","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","南屯區","山子腳",,"0420","0001","000","2389","中彰區處","月眉資產課","月眉資產課","公園        ","無"
"臺中市","南屯區","山子腳",,"0420","0002","000","712","中彰區處","月眉資產課","月眉資產課","機關        ","無"
"臺中市","南屯區","山子腳",,"0420","0003","000","17172","中彰區處","月眉資產課","月眉資產課","污水處理場     ","無"
"臺中市","南屯區","山子腳",,"0420","0004","000","776","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","山子腳",,"0421","0000","000","85589","中彰區處","月眉資產課","月眉資產課","公園        ","無"
"臺中市","南屯區","山子腳",,"0422","0000","000","1028","中彰區處","月眉資產課","月眉資產課","綠地        ","無"
"臺中市","南屯區","山子腳",,"0423","0000","002","191","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","南屯區","山子腳",,"0423","0010","001","191.06","中彰區處","月眉資產課","月眉資產課","機關        ","無"
"臺中市","南屯區","山子腳",,"0423","0014","000","7379","中彰區處","農場課","山仔腳農場","道路        ","無"
"臺中市","南屯區","山子腳",,"0427","0000","001","2837","中彰區處","農場課","山仔腳農場","道路        ","無"
"臺中市","南屯區","山子腳",,"0428","0000","002","7601","中彰區處","農場課","山仔腳農場","道路        ","無"
"臺中市","南屯區","保安",,"0451","0000","000","373","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","南屯區","保安",,"0505","0000","000","142.8","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0507","0000","000","40.8","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0507","0001","000","50.1","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","保安",,"0507","0002","000","35.7","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0541","0000","000","102.3","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0541","0001","000","86.1","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","保安",,"0541","0002","000","78.6","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0542","0000","000","5.7","中彰區處","月眉資產課","月眉資產課","水溝用地      ","無"
"臺中市","南屯區","保安",,"0555","0000","000","309","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0556","0000","000","202.2","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0560","0000","000","1592","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0564","0000","000","149","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0565","0000","000","128","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0726","0000","002","106","中彰區處","農場課","山仔腳農場","住宅區       ","無"
"臺中市","南屯區","保安",,"0729","0000","000","2","中彰區處","農場課","山仔腳農場","住宅區       ","無"
"臺中市","南屯區","保安",,"0839","0000","000","99","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0840","0000","000","20","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0842","0000","001","56","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0910","0004","000","352","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","保安",,"0915","0000","000","418","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0917","0000","000","1302","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0917","0000","001","10","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
